genome_id,genome_name,antibiotic,resistant_phenotype,label,organism
562.102868,Escherichia coli Escherichia_coli_DSM112122,tetracycline,susceptible,0,Escherichia coli
562.102868,Escherichia coli Escherichia_coli_DSM112122,trimethoprim,susceptible,0,Escherichia coli
562.102869,Escherichia coli Escherichia_coli_DSM112123,ampicillin,susceptible,0,Escherichia coli
562.102869,Escherichia coli Escherichia_coli_DSM112123,ciprofloxacin,susceptible,0,Escherichia coli
562.102869,Escherichia coli Escherichia_coli_DSM112123,gentamicin,susceptible,0,Escherichia coli
562.102869,Escherichia coli Escherichia_coli_DSM112123,imipenem,susceptible,0,Escherichia coli
562.102869,Escherichia coli Escherichia_coli_DSM112123,tetracycline,susceptible,0,Escherichia coli
562.102869,Escherichia coli Escherichia_coli_DSM112123,trimethoprim,susceptible,0,Escherichia coli
562.102870,Escherichia coli Escherichia_coli_DSM112115,ampicillin,susceptible,0,Escherichia coli
562.102870,Escherichia coli Escherichia_coli_DSM112115,ciprofloxacin,susceptible,0,Escherichia coli
562.102870,Escherichia coli Escherichia_coli_DSM112115,gentamicin,susceptible,0,Escherichia coli
562.102870,Escherichia coli Escherichia_coli_DSM112115,imipenem,susceptible,0,Escherichia coli
562.102870,Escherichia coli Escherichia_coli_DSM112115,tetracycline,susceptible,0,Escherichia coli
562.102870,Escherichia coli Escherichia_coli_DSM112115,trimethoprim,susceptible,0,Escherichia coli
562.102871,Escherichia coli Escherichia_coli_DSM112124,ampicillin,susceptible,0,Escherichia coli
562.102871,Escherichia coli Escherichia_coli_DSM112124,ciprofloxacin,susceptible,0,Escherichia coli
562.102871,Escherichia coli Escherichia_coli_DSM112124,gentamicin,susceptible,0,Escherichia coli
562.102871,Escherichia coli Escherichia_coli_DSM112124,imipenem,susceptible,0,Escherichia coli
562.102871,Escherichia coli Escherichia_coli_DSM112124,tetracycline,susceptible,0,Escherichia coli
562.102871,Escherichia coli Escherichia_coli_DSM112124,trimethoprim,susceptible,0,Escherichia coli
562.102872,Escherichia coli Escherichia_coli_DSM112110,ampicillin,susceptible,0,Escherichia coli
562.102872,Escherichia coli Escherichia_coli_DSM112110,ciprofloxacin,susceptible,0,Escherichia coli
562.102872,Escherichia coli Escherichia_coli_DSM112110,gentamicin,susceptible,0,Escherichia coli
562.102872,Escherichia coli Escherichia_coli_DSM112110,imipenem,susceptible,0,Escherichia coli
562.102872,Escherichia coli Escherichia_coli_DSM112110,tetracycline,susceptible,0,Escherichia coli
562.102872,Escherichia coli Escherichia_coli_DSM112110,trimethoprim,susceptible,0,Escherichia coli
